Tag,Location,Item,Category,Count 1,Count 2,Lab Testing,Current,Difference,Packaged Date
1A401030000AC48000018414,Packaging Area,"Private Stash, Blueberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),30,,TestPassed,,-30,6/25/2021
1A401030000AC48000018416,Packaging Area,"Private Stash, Mango, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),24,,TestPassed,,-24,6/25/2021
1A401030000AC48000018428,Packaging Area,"Private Stash, Mango, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),98,,TestPassed,,-98,6/25/2021
1A401030000AC48000018429,Lab Area,"Tozmoz, Lemon Sour Diesel, Live Resin",Extracts,2501.4,,TestPassed,,-2501.4,6/25/2021
1A401030000AC48000018440,Packaging Area,"Private Stash, Pineapple, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),44,,TestPassed,,-44,6/28/2021
1A401030000AC48000018455,Packaging Area,"Private Stash, Blueberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),132,,TestPassed,,-132,6/29/2021
1A401030000AC48000018578,Safe/Connex,"RXO, Purple Punch, FSCO",Concentrate,836.5,,TestPassed,,-836.5,7/8/2021
1A401030000AC48000018654,Lab Area,"VTA - 146 - Main, Refined",Concentrate,2665.75,,NotSubmitted,,-2665.75,7/13/2021
1A401030000AC48000018655,Lab Area,"VTA - 146 - Main, Unrefined",Concentrate,2074,,NotSubmitted,,-2074,7/13/2021
1A401030000AC48000018661,Lab Area,"Bald Peak, Forbidden Chem Cookies, Live Resin",Extracts,389.5,,NotSubmitted,,-389.5,7/13/2021
1A401030000AC48000018671,Safe/Connex,"Tozmoz, White Widow, Cannabis DerivedTerpenes",Concentrate,84,,NotSubmitted,,-84,7/13/2021
1A401030000AC48000018676,Safe/Connex,"Private Stash, Green Apple, Flavored Distillate",Inhalable Cannabinoid Product with Non-Cannabis Additives (with ingredients),10.6,,NotSubmitted,,-10.6,7/13/2021
1A401030000AC48000018711,Safe/Connex,"RXO, Purple Dream, FSCO",Concentrate,875.6,,TestPassed,,-875.6,7/14/2021
1A401030000AC48000018763,Safe/Connex,"Tozmoz, Jack The Ripper, Headsauce",Extracts,151.65,,TestPassed,,-151.65,7/15/2021
1A401030000AC48000018764,Safe/Connex,"Tozmoz, Blue Magoo, Live Resin, Sauce",Extracts,191.45,,TestPassed,,-191.45,7/15/2021
1A401030000AC48000018765,Lab Area,VTA - 147 - Main,Concentrate,1885,,NotSubmitted,,-1885,7/15/2021
1A401030000AC48000018806,Safe/Connex,"RXO, Citrus Kush, FSCO",Concentrate,1398.89,,NotSubmitted,,-1398.89,7/15/2021
1A401030000AC48000018921,Lab Area,"Tozmoz, Forbidden Chem Cookies, Cannabis Derived Terpenes",Concentrate,41,,NotSubmitted,,-41,7/21/2021
1A401030000AC48000018935,Lab Area,"Potent Farms, Mix, Cannabis Derived Terpenes",Concentrate,43.7,,NotSubmitted,,-43.7,7/21/2021
1A401030000AC48000018941,Safe/Connex,"RXO, Rogue OG, FSCO",Concentrate,437.1,,TestPassed,,-437.1,7/21/2021
1A401030000AC48000018948,Safe/Connex,"RXO, Black Mamba, FSCO",Concentrate,890.8,,TestPassed,,-890.8,7/21/2021
1A401030000AC48000018996,Safe/Connex,"Elysium Fields, BLACK, Lavender Mac Diesel, Full Spectrum Cannabis Oil",Extracts,869.5,,TestPassed,,-869.5,7/22/2021
1A401030000AC48000019107,Lab Area,"Private Stash, Blackberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),32,,TestPassed,,-32,7/27/2021
1A401030000AC48000019192,Safe/Connex,"Tozmoz, Mob Boss, Head Sauce",Extracts,298.1,,NotSubmitted,,-298.1,7/30/2021
1A401030000AC48000019252,Lab Area,"Tozmoz, Kosher Kush, cannabis Derived Terpenes",Concentrate,41.93,,NotSubmitted,,-41.93,8/3/2021
1A401030000AC48000019282,Lab Area,"Tozmoz, Dream Queen/Wappa, Cannabis Derived Terpenes",Concentrate,125.2,,NotSubmitted,,-125.2,8/4/2021
1A401030000AC48000019417,Lab Area,"Tozmoz, Agent Orange, Cannabis-Derived Terpenes",Concentrate,80.4,,NotSubmitted,,-80.4,8/11/2021
1A401030000AC48000019425,Packaging Area,"Private Stash, Green Apple, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),21,,TestPassed,,-21,8/11/2021
1A401030000AC48000019426,Lab Area,"Private Stash, Blackberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),38,,TestPassed,,-38,8/11/2021
1A401030000AC48000019447,Lab Area,VTA - 155 - Main,Concentrate,2024,,NotSubmitted,,-2024,8/12/2021
1A401030000AC48000019476,Packaging Area,"Private Stash, Tropical Orangeade, Shorties, Infused Pre Roll, 5 Pack",Infused Pre-Roll,4,,NotSubmitted,,-4,8/12/2021
1A401030000AC48000019559,Lab Area,VTA - 156 - Main,Concentrate,749.85,,NotSubmitted,,-749.85,8/18/2021
1A401030000AC48000019655,Lab Area,"Private Stash, Green Apple, 1:1 Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),62,,TestPassed,,-62,8/20/2021
1A401030000AC48000019666,Lab Area,"Private Stash, Mango, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),45,,TestPassed,,-45,8/20/2021
1A401030000AC48000019745,Lab Area,"Tozmoz, OG Purple Mahayana, Live Resin",Extracts,1212.6,,NotSubmitted,,-1212.6,8/25/2021
1A401030000AC48000019869,Safe/Connex,"Tozmoz, Papaya Sunrise, Cannabis-Derived Terpenes",Concentrate,153,,NotSubmitted,,-153,8/31/2021
1A401030000AC48000019919,Lab Area,VTA - 157 - Main,Concentrate,957.55,,NotSubmitted,,-957.55,9/3/2021
1A401030000AC48000020365,Lab Area,"RXO, Cannatonic Bunz, 1:1 FSCO",Concentrate,368.75,,TestPassed,,-368.75,9/27/2021
1A401030000AC48000020401,Lab Area,VTA - 163 - Main,Concentrate,790.48,,TestPassed,,-790.48,9/28/2021
1A401030000AC48000020447,Lab Area,"Tozmoz, Purple Kush, Cannabis-Derived Terpenes",Concentrate,63.4,,TestPassed,,-63.4,9/29/2021
1A401030000AC48000020449,Lab Area,"Tozmoz, Honey Wine, Cannabis-Derived Terpenes",Concentrate,64,,NotSubmitted,,-64,9/29/2021
1A401030000AC48000020508,Lab Area,"Tozmoz, Mango, Cannabis derived terpenes",Concentrate,29.9,,NotSubmitted,,-29.9,9/30/2021
1A401030000AC48000020512,Lab Area,"Tozmoz, Blue Magoo, Cannabis-Derived Terpenes",Concentrate,34.7,,NotSubmitted,,-34.7,9/30/2021
1A401030000AC48000020513,Lab Area,"Tozmoz, Sunset Sherbert, Cannabis-Derived Terpenes",Concentrate,189.7,,NotSubmitted,,-189.7,9/30/2021
1A401030000AC48000020520,Lab Area,"Tozmoz, Dream Queen, Cannabis Derived Terpenes",Concentrate,66,,NotSubmitted,,-66,10/1/2021
1A401030000AC48000020586,Lab Area,"Elysium Fields, Mob Diesel, Full Spectrum Cannabis Oil",Extracts,523,,TestPassed,,-523,10/4/2021
1A401030000AC48000020720,Lab Area,"Tozmoz, Mob Boss, Live Resin",Extracts,35.3,,NotSubmitted,,-35.3,10/7/2021
1A401030000AC48000020724,Lab Area,"Tozmoz, Gorilla Glue, Live Resin",Extracts,532.4,,NotSubmitted,,-532.4,10/7/2021
1A401030000AC48000020738,Lab Area,"Tozmoz, Agent Orange, Cannabis-Derived Terpenes",Concentrate,31,,NotSubmitted,,-31,10/8/2021
1A401030000AC48000020777,Lab Area,"Tozmoz, Dream Queen, Live Resin",Extracts,462,,NotSubmitted,,-462,10/8/2021
1A401030000AC48000020844,Lab Area,"RXO, Durban Diesel, FSCO",Concentrate,640.1,,TestPassed,,-640.1,10/11/2021
1A401030000AC48000020845,Lab Area,"RXO, Cosmic Mac, FSCO",Concentrate,656.9,,TestPassed,,-656.9,10/11/2021
1A401030000AC48000020847,Lab Area,"Tozmoz, Sunset Sherbet, Cannabis-Derived Terpenes",Concentrate,90.5,,NotSubmitted,,-90.5,10/11/2021
1A401030000AC48000020869,Lab Area,"Elysium Fields, Blue Magoo, full Spectrum Cannabis Oil",Extracts,502.5,,TestPassed,,-502.5,10/12/2021
1A401030000AC48000020872,Lab Area,"Elysium fields, Orange Creamsicle, full spectrum cannabis oil",Concentrate,153.9,,TestPassed,,-153.9,10/12/2021
1A401030000AC48000021015,Lab Area,"RXO, Paris OG, FSCO",Concentrate,975.8,,NotSubmitted,,-975.8,10/14/2021
1A401030000AC48000021016,Lab Area,"RXO, SPK, FSCO",Concentrate,448,,NotSubmitted,,-448,10/14/2021
1A401030000AC48000021018,Lab Area,"RXO, Black Mamba, FSCO",Concentrate,901.9,,TestPassed,,-901.9,10/14/2021
1A401030000AC48000021019,Lab Area,"RXO, Rogue OG, FSCO",Concentrate,471.2,,TestPassed,,-471.2,10/14/2021
1A401030000AC48000021334,Lab Area,"Tozmoz, Cookies n Cream, Cannabis-Derived-Terpenes",Concentrate,55,,NotSubmitted,,-55,10/22/2021
1A401030000AC48000021335,Lab Area,"Tozmoz, Lemon Sour Diesel, Cannabis-Derived-Terpenes",Concentrate,78,,NotSubmitted,,-78,10/22/2021
1A401030000AC48000021343,Lab Area,"RXO, White Cookies & Cream, FSCO",Concentrate,478.7,,TestPassed,,-478.7,10/22/2021
1A401030000AC48000021344,Lab Area,"RXO, Lemon Lime Sundae, FSCO",Concentrate,488.7,,TestPassed,,-488.7,10/22/2021
