Tag,Item,Category,Audit Count,Current Metrc Value,Difference,Packaged Date
1A401030000AC48000018203,"RXO, Hindu Kush - Full Spectrum Cannabis Oil",Concentrate,416.8,444.84,28.04,6/10/2021
1A401030000AC48000018278,"Elysium Fields, Mahayana Kush, Full Spectrum Cannabis Oil",Extracts,1024.6,1057.11,32.51,6/15/2021
1A401030000AC48000018279,"Elysium Fields, Blue Magoo, full Spectrum Cannabis Oil",Extracts,554,583.61,29.61,6/15/2021
1A401030000AC48000018350,"Tozmoz, Lemon Sour Diesel, Head Sauce",Concentrate,759.8,671.14,-88.66,6/21/2021
1A401030000AC48000018386,"Private Stash, Watermelon, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),42,42,0,6/23/2021
1A401030000AC48000018389,"Private Stash, Blue Raspberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),56,56,0,6/23/2021
1A401030000AC48000018392,"Private Stash, Blueberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),23,23,0,6/23/2021
1A401030000AC48000018397,"RXO, White Slurricookies, FSCO",Concentrate,491.5,427.42,-64.08,6/24/2021
1A401030000AC48000018401,"Private Stash, Pineapple, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),47,47,0,6/24/2021
1A401030000AC48000018414,"Private Stash, Blueberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),30,30,0,6/25/2021
1A401030000AC48000018416,"Private Stash, Mango, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),24,24,0,6/25/2021
1A401030000AC48000018428,"Private Stash, Mango, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),98,97,-1,6/25/2021
1A401030000AC48000018429,"Tozmoz, Lemon Sour Diesel, Live Resin",Extracts,2501.4,2485.7,-15.7,6/25/2021
1A401030000AC48000018440,"Private Stash, Pineapple, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),44,44,0,6/28/2021
1A401030000AC48000018455,"Private Stash, Blueberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),132,132,0,6/29/2021
1A401030000AC48000018578,"RXO, Purple Punch, FSCO",Concentrate,836.5,949.48,112.98,7/8/2021
1A401030000AC48000018654,"VTA - 146 - Main, Refined",Concentrate,2665.75,2665.75,0,7/13/2021
1A401030000AC48000018655,"VTA - 146 - Main, Unrefined",Concentrate,2074,2074,0,7/13/2021
1A401030000AC48000018661,"Bald Peak, Forbidden Chem Cookies, Live Resin",Extracts,389.5,400.4,10.9,7/13/2021
1A401030000AC48000018671,"Tozmoz, White Widow, Cannabis DerivedTerpenes",Concentrate,84,84.4,0.4,7/13/2021
1A401030000AC48000018676,"Private Stash, Green Apple, Flavored Distillate",Inhalable Cannabinoid Product with Non-Cannabis Additives (with ingredients),10.6,16.85,6.25,7/13/2021
1A401030000AC48000018711,"RXO, Purple Dream, FSCO",Concentrate,875.6,429.22,-446.38,7/14/2021
1A401030000AC48000018763,"Tozmoz, Jack The Ripper, Headsauce",Extracts,151.65,151.65,0,7/15/2021
1A401030000AC48000018764,"Tozmoz, Blue Magoo, Live Resin, Sauce",Extracts,191.45,191.49,0.04,7/15/2021
1A401030000AC48000018765,VTA - 147 - Main,Concentrate,1885,1885,0,7/15/2021
1A401030000AC48000018921,"Tozmoz, Forbidden Chem Cookies, Cannabis Derived Terpenes",Concentrate,41,38.1,-2.9,7/21/2021
1A401030000AC48000018935,"Potent Farms, Mix, Cannabis Derived Terpenes",Concentrate,43.7,230.05,186.35,7/21/2021
1A401030000AC48000018941,"RXO, Rogue OG, FSCO",Concentrate,437.1,455.99,18.89,7/21/2021
1A401030000AC48000018948,"RXO, Black Mamba, FSCO",Concentrate,890.8,897.56,6.76,7/21/2021
1A401030000AC48000018996,"Elysium Fields, BLACK, Lavender Mac Diesel, Full Spectrum Cannabis Oil",Extracts,869.5,908.44,38.94,7/22/2021
1A401030000AC48000019107,"Private Stash, Blackberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),32,34,2,7/27/2021
1A401030000AC48000019192,"Tozmoz, Mob Boss, Head Sauce",Extracts,298.1,316.5,18.4,7/30/2021
1A401030000AC48000019252,"Tozmoz, Kosher Kush, cannabis Derived Terpenes",Concentrate,41.93,42.5,0.57,8/3/2021
1A401030000AC48000019282,"Tozmoz, Dream Queen/Wappa, Cannabis Derived Terpenes",Concentrate,125.2,121.91,-3.29,8/4/2021
1A401030000AC48000019417,"Tozmoz, Agent Orange, Cannabis-Derived Terpenes",Concentrate,80.4,104.46,24.06,8/11/2021
1A401030000AC48000019425,"Private Stash, Green Apple, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),21,21,0,8/11/2021
1A401030000AC48000019426,"Private Stash, Blackberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),38,38,0,8/11/2021
1A401030000AC48000019447,VTA - 155 - Main,Concentrate,2024,2021,-3,8/12/2021
1A401030000AC48000019476,"Private Stash, Tropical Orangeade, Shorties, Infused Pre Roll, 5 Pack",Infused Pre-Roll,4,4,0,8/12/2021
1A401030000AC48000019559,VTA - 156 - Main,Concentrate,749.85,777.6,27.75,8/18/2021
1A401030000AC48000019655,"Private Stash, Green Apple, 1:1 Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),62,62,0,8/20/2021
1A401030000AC48000019666,"Private Stash, Mango, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),45,45,0,8/20/2021
1A401030000AC48000019745,"Tozmoz, OG Purple Mahayana, Live Resin",Extracts,1212.6,857.9,-354.7,8/25/2021
1A401030000AC48000019869,"Tozmoz, Papaya Sunrise, Cannabis-Derived Terpenes",Concentrate,153,166.2,13.2,8/31/2021
1A401030000AC48000019919,VTA - 157 - Main,Concentrate,957.55,1012,54.45,9/3/2021
1A401030000AC48000020365,"RXO, Cannatonic Bunz, 1:1 FSCO",Concentrate,368.75,387.46,18.71,9/27/2021
1A401030000AC48000020401,VTA - 163 - Main,Concentrate,790.48,2318,1527.52,9/28/2021
1A401030000AC48000020447,"Tozmoz, Purple Kush, Cannabis-Derived Terpenes",Concentrate,63.4,64.1,0.7,9/29/2021
1A401030000AC48000020449,"Tozmoz, Honey Wine, Cannabis-Derived Terpenes",Concentrate,64,64.4,0.4,9/29/2021
